"Freq [GHz]","Zo(1) [] - d_au='900nm' d_ln='0.4um' d_lnbd='0.2um' d_si='675um' d_siodw='4.7um' d_sioup='0.8um' gap='5um' gap2='25um' l_tanzhen='500um' l_taper='30um' LNBDSW='1.4um' ly='1000um' r2='40um' r_bend='100um' theta1='60deg' w_au='130um' w_s='100um' w_sig='11um' w_sig2='45um' w_t='0.4um' w_t1='0.2um' x_z='15um'"
39,50 + 0i
39.0525,50 + 0i
39.105,50 + 0i
39.1575,50 + 0i
39.21,50 + 0i
39.2625,50 + 0i
39.315,50 + 0i
39.3675,50 + 0i
39.42,50 + 0i
39.4725,50 + 0i
39.525,50 + 0i
39.5775,50 + 0i
39.63,50 + 0i
39.6825,50 + 0i
39.735,50 + 0i
39.7875,50 + 0i
39.84,50 + 0i
39.8925,50 + 0i
39.945,50 + 0i
39.9975,50 + 0i
40.05,50 + 0i
40.1025,50 + 0i
40.155,50 + 0i
40.2075,50 + 0i
40.26,50 + 0i
40.3125,50 + 0i
40.365,50 + 0i
40.4175,50 + 0i
40.47,50 + 0i
40.5225,50 + 0i
40.575,50 + 0i
40.6275,50 + 0i
40.68,50 + 0i
40.7325,50 + 0i
40.785,50 + 0i
40.8375,50 + 0i
40.89,50 + 0i
40.9425,50 + 0i
40.995,50 + 0i
41.0475,50 + 0i
41.1,50 + 0i
41.1525,50 + 0i
41.205,50 + 0i
41.2575,50 + 0i
41.31,50 + 0i
41.3625,50 + 0i
41.415,50 + 0i
41.4675,50 + 0i
41.52,50 + 0i
41.5725,50 + 0i
41.625,50 + 0i
41.6775,50 + 0i
41.73,50 + 0i
41.7825,50 + 0i
41.835,50 + 0i
41.8875,50 + 0i
41.94,50 + 0i
41.9925,50 + 0i
42.045,50 + 0i
42.0975,50 + 0i
42.15,50 + 0i
42.2025,50 + 0i
42.255,50 + 0i
42.3075,50 + 0i
42.36,50 + 0i
42.4125,50 + 0i
42.465,50 + 0i
42.5175,50 + 0i
42.57,50 + 0i
42.6225,50 + 0i
42.675,50 + 0i
42.7275,50 + 0i
42.78,50 + 0i
42.8325,50 + 0i
42.885,50 + 0i
42.9375,50 + 0i
42.99,50 + 0i
43.0425,50 + 0i
43.095,50 + 0i
43.1475,50 + 0i
43.2,50 + 0i
43.2525,50 + 0i
43.305,50 + 0i
43.3575,50 + 0i
43.41,50 + 0i
43.4625,50 + 0i
43.515,50 + 0i
43.5675,50 + 0i
43.62,50 + 0i
43.6725,50 + 0i
43.725,50 + 0i
43.7775,50 + 0i
43.83,50 + 0i
43.8825,50 + 0i
43.935,50 + 0i
43.9875,50 + 0i
44.04,50 + 0i
44.0925,50 + 0i
44.145,50 + 0i
44.1975,50 + 0i
44.25,50 + 0i
44.3025,50 + 0i
44.355,50 + 0i
44.4075,50 + 0i
44.46,50 + 0i
44.5125,50 + 0i
44.565,50 + 0i
44.6175,50 + 0i
44.67,50 + 0i
44.7225,50 + 0i
44.775,50 + 0i
44.8275,50 + 0i
