% Model:              Untitled.mph
% Version:            COMSOL 6.1.0.252
% Date:               May 30 2024, 14:22
% Table:              Table 1 - Global Evaluation 1
% VV (V)                                          Effective mode index                              imag(ewfd.neff) (1)                               real(ewfd.neff) (1)
-10                                               1.9374043814350277-4.1623402986824024E-7i         -4.1623402986824024E-7                            1.9374043814350277
-8                                                1.937444769367849-4.1641460092184085E-7i          -4.1641460092184085E-7                            1.937444769367849
-6                                                1.937485157723368-4.16595310843923E-7i            -4.16595310843923E-7                              1.937485157723368
-4                                                1.9375255465015833-4.16776159762489E-7i           -4.16776159762489E-7                              1.9375255465015833
-2                                                1.9375659357024921-4.1695714777181406E-7i         -4.1695714777181406E-7                            1.9375659357024921
0                                                 1.93760632532609-4.1713827498662565E-7i           -4.1713827498662565E-7                            1.93760632532609
2                                                 1.9375659357024921-4.1695714776846357E-7i         -4.1695714776846357E-7                            1.9375659357024921
4                                                 1.9375255465015835-4.1677615976978E-7i            -4.1677615976978E-7                               1.9375255465015835
6                                                 1.9374851577233683-4.165953108456535E-7i          -4.165953108456535E-7                             1.9374851577233683
8                                                 1.9374447693678485-4.164146009201456E-7i          -4.164146009201456E-7                             1.9374447693678485
10                                                1.9374043814350275-4.1623402986451165E-7i         -4.1623402986451165E-7                            1.9374043814350275
